hotelName,month,DayInWeek,diffDays,price,Company,Description
"Home NYC",10,7,11,800.0,"Home NYC",C
"Home NYC",11,2,34,875.0,"Home NYC",E
"Hampton Inn Manhattan/Times Square Central",10,1,5,846.0,Hampton Inn,A
"Hampton Inn Manhattan/Times Square Central",10,1,5,846.0,Hampton Inn,A
"Hampton Inn Manhattan/Times Square Central",10,2,6,961.0,Hampton Inn,A
"Hampton Inn Manhattan/Times Square Central",10,2,6,961.0,Hampton Inn,A
"Hampton Inn Manhattan/Times Square Central",10,3,7,1076.0,Hampton Inn,E
"Hampton Inn Manhattan/Times Square Central",10,4,1,1125.0,Hampton Inn,A
"Hampton Inn Manhattan/Times Square Central",10,4,8,1060.0,Hampton Inn,E
"Hampton Inn Manhattan/Times Square Central",10,5,2,844.0,Hampton Inn,C
"Hampton Inn Manhattan/Times Square Central",10,5,2,844.0,Hampton Inn,C
"Hampton Inn Manhattan/Times Square Central",10,6,3,794.0,Hampton Inn,C
"Hampton Inn Manhattan/Times Square Central",10,6,3,794.0,Hampton Inn,C
"Hampton Inn Manhattan/Times Square Central",10,7,4,859.0,Hampton Inn,C
"Hampton Inn Manhattan/Times Square Central",10,7,4,859.0,Hampton Inn,C
"Hampton Inn Manhattan/Times Square Central",11,1,33,745.0,Hampton Inn,E
"Hampton Inn Manhattan/Times Square Central",11,1,33,745.0,Hampton Inn,E
"Hampton Inn Manhattan/Times Square Central",11,1,33,745.0,Hampton Inn,E
"Hampton Inn Manhattan/Times Square Central",11,2,34,754.0,Hampton Inn,D
"Hampton Inn Manhattan/Times Square Central",11,2,34,754.0,Hampton Inn,D
"Hampton Inn Manhattan/Times Square Central",11,2,34,754.0,Hampton Inn,D
"Hampton Inn Manhattan/Times Square Central",11,3,21,1651.0,Hampton Inn,E
"Hampton Inn Manhattan/Times Square Central",11,3,28,1246.0,Hampton Inn,B
"Hampton Inn Manhattan/Times Square Central",11,4,22,1535.0,Hampton Inn,A
"Hampton Inn Manhattan/Times Square Central",11,4,29,1014.0,Hampton Inn,B
"Hampton Inn Manhattan/Times Square Central",11,4,29,1014.0,Hampton Inn,B
"Hampton Inn Manhattan/Times Square Central",11,5,16,1964.0,Hampton Inn,A
"Hampton Inn Manhattan/Times Square Central",11,5,23,1370.0,Hampton Inn,D
"Hampton Inn Manhattan/Times Square Central",11,5,30,1034.0,Hampton Inn,A
"Hampton Inn Manhattan/Times Square Central",11,6,17,1835.0,Hampton Inn,D
"Hampton Inn Manhattan/Times Square Central",11,6,24,1205.0,Hampton Inn,C
"Hampton Inn Manhattan/Times Square Central",11,6,31,1024.0,Hampton Inn,A
"Hampton Inn Manhattan/Times Square Central",11,7,32,927.0,Hampton Inn,D
"Hampton Inn Manhattan/Times Square Central",11,7,32,927.0,Hampton Inn,D
"Hampton Inn Manhattan/Times Square Central",11,7,32,927.0,Hampton Inn,D
"Comfort Inn & Suites JFK Airport",10,1,5,495.0,Comfort Inn,E
"Comfort Inn & Suites JFK Airport",10,1,12,470.0,Comfort Inn,E
"Comfort Inn & Suites JFK Airport",10,2,6,528.0,Comfort Inn,D
"Comfort Inn & Suites JFK Airport",10,2,13,480.0,Comfort Inn,E
"Comfort Inn & Suites JFK Airport",10,3,7,561.0,Comfort Inn,C
"Comfort Inn & Suites JFK Airport",10,4,1,515.0,Comfort Inn,E
"Comfort Inn & Suites JFK Airport",10,4,1,515.0,Comfort Inn,E
"Comfort Inn & Suites JFK Airport",10,5,2,510.0,Comfort Inn,D
"Comfort Inn & Suites JFK Airport",10,5,2,510.0,Comfort Inn,D
"Comfort Inn & Suites JFK Airport",10,6,3,505.0,Comfort Inn,C
"Comfort Inn & Suites JFK Airport",10,6,3,505.0,Comfort Inn,C
"Comfort Inn & Suites JFK Airport",10,7,4,490.0,Comfort Inn,B
"Comfort Inn & Suites JFK Airport",10,7,4,490.0,Comfort Inn,B
"Comfort Inn & Suites JFK Airport",11,1,33,445.0,Comfort Inn,A
"Comfort Inn & Suites JFK Airport",11,1,33,445.0,Comfort Inn,A
